spotify_id,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,mfcc_13_mean,mfcc_13_std,chroma_mean,chroma_std,contrast_mean,contrast_std,zcr_mean,zcr_std,centroid_mean,centroid_std
1w8r3PAxPPLfcuyRsC4BeA,26.931482,41.747078,84.72937,15.093025,-7.5180135,14.072914,22.647936,12.210759,4.4874206,8.752389,4.391788,9.064275,7.94801,7.938977,6.5597453,7.60889,-0.563195,7.742281,8.0546,6.8567886,-8.709933,6.695884,4.607755,6.0166254,0.7009163,6.1923428,0.4437445,0.27085674,21.429694591684918,11.56583836855956,0.12478651889534884,0.04188391967291237,2577.4431472096744,540.4334646787572
6VeihScj0pNr6uGFxfzalq,2.803828,27.65764,89.49462,15.130469,-23.630268,12.339739,28.890903,7.8381543,-10.955419,10.159952,6.9119864,5.6557007,1.4237934,7.7979417,1.0627074,5.7444563,-2.9601257,6.6760807,2.9767318,5.916631,-1.9873906,6.1666274,5.77942,7.1192875,-1.7260455,6.7416606,0.37597334,0.29389492,21.154495899881812,11.87142511264142,0.13013753507159442,0.026959829328693972,2434.8746098701836,353.16154978936464
6HfUriaVuymw9EmYeG9WH5,-116.07073,39.779476,98.24054,25.021326,-27.436615,19.182085,49.221718,20.670633,2.877962,12.866439,16.721407,10.660762,-3.770225,8.323602,16.22616,8.859159,0.7699343,6.7629704,6.4856834,6.7664576,1.6699207,6.9624395,-0.6112912,8.441586,9.542091,10.738445,0.39884382,0.28027287,22.481300794999314,12.318544618996723,0.1204973817240712,0.03784351259975895,2232.411684044448,505.1790197945587
2zEcAdsl5OjxKRrGQA5Z49,-42.888943,36.794796,80.92956,24.249687,-3.404322,19.339144,19.956432,14.421357,3.8198416,15.154225,18.462267,9.451117,0.4145923,9.602137,16.297457,9.435859,7.9348702,8.594253,19.598272,9.073387,7.510816,8.813775,3.2660043,7.3447833,-2.113962,6.8017926,0.41261828,0.30591574,24.347366261530368,11.703634933678769,0.07154076165828173,0.03292921743971611,2381.8796542719633,697.7421660582315
0mJUxFpEI1eAOIIfnNoZ4G,-11.789343,25.726112,120.11927,18.92222,-7.3124046,10.620411,8.634381,14.325814,-3.3410735,10.996027,-0.3852044,7.2923527,-1.28888,9.209276,4.650219,6.1899514,-4.811131,5.6063924,7.1317015,5.912173,-4.1094294,6.6951823,0.773264,5.5943947,-3.6829207,5.706746,0.40456387,0.26830485,21.79901425263193,11.545321715477298,0.0887311339009288,0.03264386231784194,1932.1133557346977,507.5854463026869
4mdop8Jx5BwspAQzvjF8pu,24.491316,18.587578,83.758514,15.758329,-5.738799,14.245809,23.750753,9.644177,4.2862444,11.697081,15.293951,8.153641,7.1807594,10.243926,14.508779,9.203788,3.1573138,6.6774845,8.761264,6.742243,3.479714,6.9051046,9.850943,6.673366,0.45061326,6.017553,0.5597221,0.24639064,19.97208608792295,12.48127446144454,0.10115887432275542,0.02857702906126446,2521.240717479386,471.84852995998403
7BPnVWrtrUbX050WmCo86R,-49.19004,51.906578,64.75846,26.851027,10.188719,25.792665,21.087404,17.64932,4.1585727,15.484553,7.219555,10.955952,3.2092588,14.705641,0.84743404,12.218912,5.0298977,10.850031,10.9992075,9.510457,1.6425778,10.780468,8.451699,9.050458,10.62308,9.476963,0.44793764,0.30045575,21.660493536589073,10.751082096440772,0.09700697199109908,0.05308914923355938,2900.4497268805585,776.0900686588524
2auGZBF35U0Hx18EzGSVOX,72.291275,17.292429,81.46472,15.002408,-16.900496,12.4625,16.38433,9.73275,4.614724,10.450668,7.086388,7.9230356,-1.2097461,7.3990564,14.794423,6.8677607,-3.8683584,7.4839287,6.1438894,5.5559645,1.6180563,5.906458,4.6235185,6.0389037,-3.692495,5.4768233,0.52354914,0.2563266,19.476937015594284,12.716728710106526,0.13784572731230652,0.037411459937966074,2686.638494263199,496.32447604842537
679TnTjA1ad756mFFq91ZK,-8.651877,66.91551,28.898434,23.021986,8.170735,21.061342,11.78836,15.577804,11.633284,11.324626,12.790955,11.096798,4.871455,11.366468,10.527199,7.7251415,1.3729888,9.703069,8.871749,8.557734,1.8586749,7.6169086,8.855974,8.790619,3.7730272,8.424103,0.50118095,0.29725283,21.66844169113313,11.575302622564244,0.1269614522771318,0.07173313895301096,3923.691441752067,797.1133840448741
0cqsWgcbzZy77hPJ6IlvYj,-104.833496,40.699684,98.10941,28.10654,-5.4454055,16.915482,13.979334,14.356286,6.9343157,13.3008585,0.8595197,10.738526,4.2048883,10.903164,0.46034434,10.214713,-2.944464,8.847664,5.7397447,8.536325,-5.3341293,9.275767,6.435797,7.576012,-6.261605,8.621592,0.28487873,0.29033995,25.239035232955192,11.110931656506443,0.10505680993614551,0.05247260318804238,2244.1878255288602,695.5791879467434
