track_id,artist,title,lyrics
16384,,,
16385,,,
2,AWOL,Food,
3,,,
16386,,,
5,,,
16387,,,
16388,,,
16391,,,
16392,,,
10,Kurt Vile,Freeway,
16393,,,
16394,,,
8201,P.E.D.,noise,
16398,,,
16399,,,
16400,,,
16401,,,
16402,,,
16403,,,
16404,,,
8204,,,
16406,Peerless Quartet,Georgia,
8208,,,
32800,,,
16421,,,
16422,,,
16423,,,
16424,,,
16425,,,
16426,,,
16427,,,
16428,,,
16430,The Virginians,Blue,
16431,,,
16432,,,
8256,,,
8257,,,
8258,,,
8259,,,
8261,,,
41076,,,
123002,,,
41090,,,
32900,,,
134,,,
139,Alec K. Redfearn & the Eyesores,CandyAss,
140,,,
141,Alec K. Redfearn & the Eyesores,Ohio,
9798,,,
9800,,,
16546,,,
11431,,,
190,,,
193,,,
194,,,
16580,,,
197,,,
198,,,
16581,Gorowski,Hullites,
200,,,
16582,,,
16583,,,
203,,,
204,,,
16589,,,
16584,,,
16585,,,
207,,,
208,,,
209,,,
210,,,
211,,,
212,,,
213,Au,Boute,
16590,Gorowski,GCP,
16591,,,
16592,,,
49363,,,
24800,,,
24801,,,
237,,,
247,,,
65784,,,
249,,,
41207,,,
65788,,,
255,,,
256,Black Elk,Toggle,
257,,,
258,Black Elk,Eyebone,
8450,Screaming Females,Bell,
8451,Screaming Females,Skull,
8452,,,
8453,,,
8454,Screaming Females,Fun,
8455,,,
9823,,,
57631,,,
49441,,,
8489,,,
8490,Paybacks,Blackout,
8491,,,
8494,,,
8497,Paybacks,Hollywood,
16690,Shearer,Change,
16691,,,
16692,,,
16693,,,
16694,,,
16695,Shearer,69,
16696,,,
98613,,,
16698,,,
16699,Shearer,Clay,
16700,,,
16701,Shearer,Wussy,
16702,,,
16703,,,
49471,,,
49473,,,
8205,,,
8514,,,
341,,,
343,Blah Blah Blah,Cybernetics,
352,,,
368,Blah Blah Blah,Vampires,
369,,,
49531,,,
49532,,,
8575,,,
8580,Taylor Ho Bynum/Tomas Fujiwara Duo,Ikuru,
8582,,,
8584,,,
397,,,
398,,,
399,Borful Tang,ELI,
400,,,
405,,,
414,,,
33192,,,
33200,,,
25009,,,
16819,,,
16820,Pharaos,Investigation,
16821,,,
16822,,,
16823,,,
16824,,,
16825,,,
16826,,,
16827,,,
16828,,,
16829,,,
33213,,,
25016,,,
33219,,,
57809,,,
57813,,,
16380,,,
16879,Pre,Yesterday,
