track_id,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,valence,arousal,emotion
2,-66.780685,64.2618,-9.776764,11.287591,-2.4191437,9.037897,-1.113319,4.5498395,-5.3051214,0.2445274,-9.495332,2.5823383,-2.2036319,7.398252,-2.5230405,0.48562786,-7.729595,-2.777132,-2.2285872,-0.60578,0.576660988,0.6344762684,happy
3,-97.45645,72.06718,-3.1508443,29.252588,5.986956,11.717706,-3.5791378,6.2531986,-7.4306498,6.4551325,-6.1684155,-0.053905442,-3.0702112,0.28655902,-3.7365255,0.5672788,-2.5699444,1.670478,-8.601209,-2.897763,0.2692402421,0.8174611317,angry
5,-106.024376,86.379105,13.008847,23.29348,-0.13009074,11.99547,-4.708312,16.5522,-5.427786,-0.8825034,-1.0317154,8.08243,4.215745,6.530336,0.9724152,0.19170025,-3.4102998,-1.2815685,-0.91797906,0.6856623,0.6216612236,0.7014699916,happy
10,-16.811268,93.61206,-47.824642,31.577908,-3.7626708,1.410515,-1.5081638,1.8848594,-4.5226245,-0.24713916,-8.496406,1.502116,-5.694397,1.9545956,-4.378735,-1.5836321,-2.5199113,2.3816586,-0.38851425,3.2400765,0.9635898919,0.9245251615,happy
16696,25.366562,67.48221,-15.289805,42.265068,9.312771,5.4607534,3.6877496,13.029564,4.689614,8.151448,1.432634,9.5252075,1.4167337,-0.40047672,-4.709266,0.56627864,-5.940348,-2.341209,-0.56754416,5.0964136,0.8940722715,0.5604099311,happy
16701,16.658371,65.78033,-8.85034,39.829628,10.556835,8.778033,4.3147216,11.416127,5.3759723,3.7455075,-1.8217684,9.66187,2.7868192,0.76323116,-2.0815332,2.6439345,-6.2071204,-1.368509,2.1180449,3.864604,0.1602670903,0.6070668636,angry
16702,-131.14188,106.27006,31.09821,36.788273,11.011915,19.305038,3.055132,8.154089,1.3958377,2.7105322,-2.2700558,1.4776559,-2.4659224,0.1198721,-2.4640367,1.321209,-4.791528,-1.0702947,-1.4737428,0.15412454,0.6099912728,0.2656847734,relaxed
16703,-68.40743,100.74753,-1.3807205,38.404854,11.618301,6.338888,0.44445753,14.0492,-2.7150528,2.8338113,1.5159339,9.777365,4.567115,1.0895579,-3.527582,0.08785545,-5.296941,-7.7362056,-1.5528293,2.0974555,0.1639499337,0.0756321472,sad
147769,-183.83755,136.33598,-12.244605,25.655828,-1.1704485,2.1767564,-3.767787,1.1168199,-15.260805,-1.6265293,-2.5508,-6.39211,-21.456312,-15.795335,-14.074533,-15.938873,-15.861049,-11.47177,-16.454277,-9.8124275,0.0928676322,0.8238557796,angry
49471,-45.065666,66.5737,-23.578627,26.566597,15.361798,16.626856,-2.9556215,10.021116,8.073944,9.708055,1.6526406,2.0638075,-5.2123,2.805539,2.0587912,1.1124215,-5.0746355,4.1013246,0.07653,-2.112573,0.7882507821,0.6419971681,happy
98623,-21.74574,102.91343,3.308491,20.58022,4.0748725,13.471916,9.038382,11.513667,-4.2099338,5.4095545,4.774003,12.834509,3.2531967,1.95517,2.275516,7.0090404,-3.7942278,5.2167177,6.587566,3.0997188,0.650451689,0.4877519875,relaxed
49473,-201.09697,119.454254,77.090164,30.664873,8.813592,-0.8015012,6.328885,-2.770946,-9.636577,-2.0039897,-1.3484167,-2.8286731,-6.5564547,12.195983,-0.9247665,0.46919322,-5.4808373,-7.2792244,-11.614165,-2.7991383,0.6823971806,0.4764224981,relaxed
49479,-132.74185,74.54884,6.907141,16.768877,9.968926,9.610926,9.215975,17.272808,7.460406,15.296168,1.1973884,10.457253,2.3639934,1.3518023,-2.3383794,6.448601,0.0065912306,3.7744057,5.785923,11.74707,0.9176129075,0.8661160135,happy
352,-177.70099,132.47215,-31.185005,28.221773,-2.0548966,15.633345,1.7555021,13.607082,3.4871864,5.577467,0.44978958,1.2442262,-4.002653,1.9467037,-0.70390475,-0.91853803,-5.948497,-3.073856,-1.4142721,-0.6789968,0.0340178672,0.9797737929,angry
16736,60.263287,76.73308,-26.960648,50.81938,-5.903334,0.26595104,-9.418847,9.130315,-15.293603,-1.042972,-3.2951121,1.2537911,-12.536633,-0.51698977,-6.515854,0.03769978,-7.6289487,-1.2196755,-4.434113,-0.7535464,0.035631561,0.0238515619,sad
16737,-117.07202,128.91212,-16.242714,33.623383,5.423909,7.077898,-11.218984,3.47666,-13.890182,-5.80076,-14.592096,-13.326056,-10.637478,-1.6478047,-8.505457,-0.101943366,-6.189774,1.9318873,-4.319025,-8.414461,0.0343252564,0.9121220855,angry
16762,-313.0214,161.6761,25.427216,57.71387,10.604121,20.96942,6.3564105,-14.597186,-18.031494,-19.345535,-3.0344353,-4.091677,-9.821089,-9.912781,-6.4057884,0.08207086,-2.9304643,-0.9675985,1.7377887,1.1919079,0.0283472078,0.7228348527,angry
